2022;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Jepara;74,18;442618,00;12,77;73,15;6,88;1,22;0,30;10913;8,09;75,97;
Demak;73,69;471818,00;13,33;73,36;12,09;1,68;0,35;10698;8,10;75,52;
Semarang;74,08;459151,00;13,04;74,67;7,27;1,03;0,22;12448;8,05;75,86;
Temanggung;73,87;354012,00;12,55;70,77;9,33;1,06;0,19;9773;7,41;75,70;
Kendal;72,70;433864,00;12,97;73,19;9,48;1,52;0,39;11999;7,71;74,53;
Batang;72,93;341252,00;12,14;69,45;8,98;1,26;0,29;9972;6,90;74,79;
Pekalongan;71,89;441765,00;12,43;70,81;9,67;1,67;0,43;10707;7,46;73,80;
Pemalang;71,79;429549,00;11,98;67,19;15,06;2,43;0,57;8994;6,50;73,65;
Tegal;69,98;434638,00;12,91;69,53;7,90;0,95;0,17;10020;7,25;71,85;
Brebes;67,83;472326,00;12,15;67,03;16,05;2,73;0,66;10514;6,35;69,74;
Kota Magelang;75,19;575130,00;14,31;80,39;7,10;0,47;0,06;12816;10,94;77,02;
Kota Surakarta;75,66;538441,00;14,89;83,08;8,84;1,07;0,27;15463;10,92;77,43;
Kota Salatiga;75,66;518815,00;15,43;84,35;4,73;0,66;0,15;16351;10,95;77,72;
Kota Semarang;75,94;589598,00;15,54;84,08;4,25;0,56;0,11;16047;10,80;77,69;
Kota Pekalongan;72,59;513243,00;12,86;75,90;7,00;0,90;0,17;13158;9,20;74,51;
Kota Tegal;72,72;565826,00;13,08;76,15;7,91;1,15;0,28;13455;9,00;74,64;
Kulon Progo;73,40;381666,00;14,38;75,46;16,39;2,32;0,56;10511;9,17;75,28;
Bantul;71,98;445511,00;15,48;80,69;12,27;2,11;0,50;16002;9,59;73,90;
Gunung Kidul;72,27;350739,00;13,33;70,96;15,86;2,63;0,67;9874;7,31;74,23;
Sleman;73,10;450763,00;16,76;84,31;7,74;1,18;0,27;16438;10,94;75,00;
Kota Yogyakarta;72,95;601905,00;17,61;87,69;6,62;0,80;0,13;19319;11,89;74,83;
Pacitan;70,47;327758,00;12,66;69,37;13,80;1,35;0,23;9184;7,82;72,48;
Ponorogo;71,20;362461,00;13,76;71,87;9,32;0,99;0,16;10199;7,77;73,20;
Trenggalek;72,31;381448,00;12,50;71,00;10,96;1,38;0,28;10042;7,89;74,26;
Tulungagung;72,61;391888,00;13,33;74,06;6,71;0,66;0,09;11162;8,65;74,54;
Blitar;72,01;355511,00;12,64;71,86;8,71;1,33;0,30;11001;7,82;73,98;
Kediri;70,93;353033,00;13,61;73,46;10,65;1,67;0,41;11565;8,23;72,97;
Malang;70,92;367579,00;13,38;71,38;9,55;0,92;0,18;10326;7,68;72,95;
Lumajang;68,54;352776,00;12,02;66,95;9,06;1,34;0,31;9466;6,87;70,61;
Jember;67,58;400961,00;13,44;67,97;9,39;1,08;0,22;9840;6,50;69,68;
Banyuwangi;68,94;414879,00;13,11;71,94;7,51;1,18;0,25;12320;7,66;71,06;
Bondowoso;65,18;449760,00;13,31;67,31;13,47;1,62;0,33;10851;6,22;67,29;
Situbondo;67,55;356133,00;13,18;68,25;11,78;1,34;0,27;10263;6,63;69,62;
Probolinggo;65,70;475713,00;12,58;66,96;17,12;2,54;0,59;11254;6,13;67,78;
Pasuruan;68,49;394016,00;12,76;69,68;8,96;1,29;0,29;10726;7,42;70,55;
Sidoarjo;72,40;523213,00;14,95;81,02;5,36;0,84;0,18;14808;10,77;74,36;
Mojokerto;70,90;445608,00;12,96;74,89;9,71;1,37;0,29;13051;8,97;72,93;
Jombang;70,85;448830,00;13,58;74,05;9,04;1,19;0,23;11579;8,76;72,86;
Nganjuk;69,90;474429,00;13,07;72,93;10,70;1,48;0,31;12349;8,12;71,95;
Madiun;69,88;405127,00;13,18;72,39;10,79;1,67;0,37;11848;7,94;71,90;
Magetan;70,95;396696,00;14,05;74,85;9,84;1,55;0,34;12031;8,66;72,97;
Ngawi;70,82;382301,00;12,84;71,75;14,15;1,66;0,31;11563;7,59;72,81;
Bojonegoro;70,15;403403,00;12,84;70,12;12,21;1,90;0,40;10323;7,43;72,16;
Tuban;69,94;421287,00;12,24;69,67;15,02;2,89;0,81;10703;7,37;71,97;
Lamongan;70,86;446601,00;14,01;74,02;12,53;2,13;0,53;11648;8,33;72,86;
Gresik;70,95;536544,00;13,96;77,16;11,06;2,17;0,89;13384;9,75;72,99;
Bangkalan;68,45;458754,00;11,91;65,05;19,44;3,02;0,73;8971;5,97;70,54;
Sampang;66,26;411661,00;12,39;63,39;21,61;2,88;0,53;8944;5,06;68,38;
Pamekasan;65,91;392345,00;13,67;66,99;13,93;2,05;0,41;8967;6,88;68,03;
Sumenep;69,96;427882,00;13,51;67,87;18,76;3,72;1,16;9388;5,93;71,99;
Kota Kediri;72,35;537326,00;15,44;79,59;7,23;1,42;0,41;12762;10,45;74,34;
Kota Blitar;72,31;517363,00;14,56;79,93;7,37;0,90;0,19;14058;10,65;74,26;
Kota Malang;71,72;609612,00;15,76;82,71;4,37;1,00;0,34;16897;10,69;73,75;
Kota Probolinggo;68,56;575195,00;13,67;74,56;6,65;1,04;0,23;12571;9,29;70,68;
Kota Pasuruan;69,91;486893,00;13,64;76,54;6,37;0,93;0,22;13803;9,67;71,96;
Kota Mojokerto;71,72;531804,00;14,02;79,32;5,98;0,87;0,18;14054;10,80;73,74;
Kota Madiun;71,15;551620,00;14,43;82,01;4,76;0,40;0,06;16503;11,67;73,13;
Kota Surabaya;72,50;652540,00;14,83;82,74;4,72;0,69;0,18;18345;10,51;74,47;
Kota Batu;70,95;564010,00;14,40;77,22;3,79;0,64;0,16;13094;9,63;72,97;
Pandeglang;63,17;416248,00;13,72;65,84;9,32;1,21;0,33;8827;7,13;65,20;
Lebak;65,69;380681,00;12,09;64,71;8,91;1,35;0,33;8854;6,59;67,74;
Tangerang;68,25;576122,00;12,85;72,97;6,92;1,06;0,26;12427;8,92;70,28;
Serang;63,20;385864,00;12,78;67,75;4,96;0,56;0,11;10916;7,78;65,18;
Kota Tangerang;69,86;695225,00;13,88;78,90;5,77;0,72;0,13;14909;10,84;71,91;
Kota Cilegon;64,95;572780,00;13,20;73,95;3,64;0,42;0,09;13185;10,34;67,02;
Kota Serang;66,19;460613,00;12,81;72,98;5,94;0,77;0,17;13709;8,90;68,54;
Kota Tangerang Selatan;70,85;712717,00;14,67;81,95;2,50;0,32;0,07;15997;11,84;72,78;
Jembrana;70,79;458214,00;13,01;73,58;5,30;0,73;0,15;11915;8,64;72,82;
Tabanan;72,13;522520,00;13,03;76,75;5,18;0,67;0,13;14475;9,15;74,10;
Badung;73,63;633769,00;14,03;82,13;2,53;0,29;0,05;17445;10,64;75,51;
Gianyar;72,16;434163,00;14,01;78,39;4,70;0,69;0,21;14630;9,55;74,13;
Klungkung;69,81;359415,00;13,02;72,55;6,07;0,53;0,08;11500;8,46;71,83;
Bangli;68,90;401650,00;12,49;70,26;5,28;0,72;0,15;11424;7,47;70,97;
Karangasem;68,85;376229,00;12,62;68,28;6,98;0,84;0,18;10278;6,67;70,89;
Buleleng;70,29;496390,00;13,26;73,45;6,21;0,60;0,09;13529;7,56;72,32;
Kota Denpasar;73,39;712815,00;14,10;84,37;2,97;0,30;0,05;19850;11,50;75,30;
