TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Bengkulu Utara;66,16;387881;12,87;68,82;11,67;1,58;0,37;10263;7,87;68,19;8416315,316
Kaur;64,72;338451;12,99;66,99;18,47;2,77;0,63;8593;8,37;66,63;3612336,735
Seluma;65,79;400090;13,28;66,89;18,56;2,87;0,7;8220;7,99;67,75;4730445,402
Mukomuko;64,71;448127;12,73;68,45;11,72;1,52;0,38;10266;8,29;66,64;5265065,826
Lebong;61,29;424637;12,57;67,01;11,85;1,45;0,35;11124;7,99;63,29;3400862,2
Kepahiang;66;396184;12,9;68,17;14,69;1,9;0,37;9273;8,24;67,95;4409812,296
Bengkulu Tengah;66,14;431688;13,03;67,61;9,3;1,25;0,25;9392;7,47;68,19;4672104,071
Kota Bengkulu;68,21;702578;16,02;80,36;17,65;3,51;1,02;13938;11,79;70,13;23498494,85
Lampung Barat;65,53;443313;12,25;67,8;12,52;2,01;0,55;9929;8,06;67,58;7131893,527
Tanggamus;66,54;397984;12,18;66,42;11,68;1,36;0,24;9250;7,22;68,56;15468955,86
Lampung Selatan;67,31;422328;12,5;68,36;14,08;2,52;0,6;9875;7,69;69,33;44293004,62
Lampung Timur;68,71;398298;12,85;69,37;14,62;2,5;0,64;9983;7,60;70,73;40674864,7
Lampung Tengah;67,81;436777;12,92;70,16;11,82;1,63;0,33;11219;7,58;69,84;71070419,6
Lampung Utara;67,17;441045;12,48;67,67;19,3;2,88;0,69;8733;8,21;69,21;23765918,96
Way Kanan;67,36;377712;12,36;67,44;12,9;1,9;0,39;9102;7,70;69,40;13985521,71
Tulangbawang;67,94;438744;11,89;68,52;9,33;1,24;0,26;10683;7,49;69,97;23083257,34
Pesawaran;67;403441;12,36;65,79;14,76;2,18;0,48;7892;7,70;69,04;16211738,92
Pringsewu;68,06;458627;12,83;70,3;9,97;1,2;0,21;10262;8,38;70,08;11166162,52
Mesuji;66,13;423133;11,63;63,63;7,33;0,88;0,19;7894;6,88;68,19;10390753,81
Tulang Bawang Barat;67,98;432693;12,05;65,97;7,39;0,92;0,18;8395;7,24;70,00;11420341,01
Pesisir Barat;61,55;441917;11,99;63,91;14,29;1,8;0,35;8457;8,01;63,50;4692201,914
Kota Bandar Lampung;69,36;634743;14,64;77,44;8,81;1,61;0,45;12197;10,93;71,37;58870136,72
Kota Metro;69,64;406351;14,47;77,19;8,47;0,94;0,16;11906;10,96;71,63;6289542,938
Bangka;69,06;577093;12,77;72,4;4,51;0,47;0,09;12416;8,24;71,06;13933615,7
Belitung;69,04;812321;11,85;72,51;6,27;0,74;0,16;13554;8,46;71,05;9826870,913
Bangka Barat;68,05;589894;11,53;69,08;2,7;0,23;0,04;12233;7,22;70,06;13416404,73
Bangka Tengah;69,39;721331;11,81;70,45;4,85;0,72;0,14;12909;7,19;71,36;8433246,065
Bangka Selatan;66,1;561617;11,37;66,9;3,52;0,53;0,13;11757;6,67;68,16;8687385,795
Belitung Timur;70,07;725395;11,52;70,92;6,52;0,7;0,19;11730;8,22;72,03;7842646,247
Kota Pangkal Pinang;71,36;795653;13,15;78,22;4,36;0,6;0,12;15663;9,92;73,30;13455954,7
Karimun;68,91;411052;12,42;71,44;6,83;0,59;0,08;11885;8,17;70,91;13310630,17
Bintan;68,34;417654;13,1;74,13;6,36;0,81;0,17;14482;8,44;70,38;20743697,61
Natuna;63,08;408164;13,9;72,72;4,43;0,4;0,05;14705;8,73;65,06;18405913,23
Lingga;60,15;472384;12,45;65,29;13,85;2,32;0,58;11998;6,67;62,06;4292433,344
Kepulauan Anambas;65,2;416877;12,81;68,8;6,56;0,96;0,2;11875;7,17;67,21;14453581,75
Kota Batam;71,38;707856;13,16;81,11;4,75;0,7;0,2;18095;11,14;73,33;161364182,3
Kota Tanjung Pinang;70,12;691738;14,12;78,91;9,37;1,58;0,4;15498;10,25;72,10;19665012,39
Kep. Seribu;66,67;661852;12,57;71,63;14,87;2,1;0,42;12412;8,68;68,76;6451223,526
Kota Jakarta Selatan;72,23;782731;13,33;84,72;3,43;0,47;0,1;23575;11,63;74,12;643600851,9
Kota Jakarta Timur;72,6;581954;13,86;82,66;4,16;0,35;0,05;17438;11,66;74,47;470237864,5
Kota Jakarta Pusat;72,22;672328;13,25;81,39;4,51;0,6;0,15;17179;11,38;74,11;700985685,3
Kota Jakarta Barat;71,72;557803;12,8;81,38;4,25;0,61;0,14;20468;10,63;73,62;469054271,5
Kota Jakarta Utara;71,36;594240;12,63;80,29;6,78;0,99;0,21;18437;10,80;73,28;496749600,9
Bogor;69,24;402877;12,48;70,4;7,69;0,83;0,11;10317;8,30;71,17;235951257,9
Sukabumi;69,03;328284;12,23;66,88;7,09;0,8;0,12;8823;7,07;70,97;67468452,52
Cianjur;68,17;371699;11,99;65,36;10,36;1,38;0,27;7980;7,18;70,13;47528966,67
Bandung;71,67;367403;12,69;72,39;6,91;0,92;0,17;10201;8,96;73,53;123604309,1
Garut;69,49;310437;11,91;66,12;9,98;0,97;0,15;7876;7,52;71,41;58043004,97
Tasikmalaya;67,51;323880;12,53;65,67;10,34;0,83;0,11;7852;7,35;69,47;37443447,75
Ciamis;69,92;378108;14,06;70,49;7,62;0,92;0,16;9288;7,70;71,83;31974405,03
Kuningan;71,72;352358;12,22;69,38;12,82;2,41;0,62;9459;7,57;73,59;25618867,92
Cirebon;70,08;393452;12,25;68,75;11,24;1,3;0,24;10342;6,92;71,99;49561301,69
Majalengka;68,31;453201;12,22;67,59;11,43;1,41;0,25;9521;7,27;70,27;32202074,92
Sumedang;70,52;353092;12,97;71,64;10,26;1,72;0,42;10217;8,51;72,43;35489082,66
Indramayu;69,72;474807;12,25;67,29;12,7;2,18;0,56;9859;6,30;71,63;79286229,64
Subang;70,46;351885;11,7;68,95;9,31;1,29;0,25;10790;7,10;72,35;40146488,1
Purwakarta;69,05;378287;12,11;70,82;8,27;1,04;0,2;11614;8,09;70,99;67051575,74
Karawang;70,25;466152;12,09;70,66;8,26;1,28;0,25;11315;7,77;72,15;224046749,9
Bekasi;71,81;518667;13,09;74,07;4,82;0,72;0,18;11241;9,12;73,68;317779737,3
Bandung Barat;70,43;362212;11,87;68,08;10,49;1,4;0,25;8455;8,19;72,34;46478896,6
Pangandaran;69,49;382264;12,07;68,06;8,99;1,32;0,28;9084;7,74;71,40;11498281,7
